Cause of death,Rank,Deaths,Percent of total deaths
All Causes,0,"2,813,503",100
Diseases of heart,1,"647,457",23
Malignant neoplasms,2,"599,108",21.3
Accidents (unintentional injuries,3,"169,936",6
Chronic lower respiratory disease,4,"160,201",5.7
Cerebrovascular disease,5,"146,383",5.2
Alzheimer disease,6,"121,404",4.3
Diabetes mellitus ,7,"83,564",3
nfluenza and pneumoni,8,"55,672",2
"Nephritis, nephrotic syndrome and nephrosi",9,"50,633",1.8
Intentional self-harm (suicide,10,"47,173",1.7
