Name,Category,Calories,Fat
California Pizza Kitchen Original BBQ Chicken (whole pizza),Pizza,1136,19
"Domino’s Medium Ultimate Deep Dish EXtravaganZZa Feast, 1 slice 12?",Pizza,320,16
"Domino’s Cheese, 1 slice 12?",Pizza,210,8
"Papa John’s Garden Fresh on Original Crust, 1 slice 12?",Pizza,200,7
"Papa John’s Spinach Alfredo on Original Crust, 1 slice 12?",Pizza,210,8
"Pizza Hut Thin n’ Crispy, Pepperoni, 1 slice 12?",Pizza,200,9
"Pizza Hut Fit n’ Delicious Pizza with Green Pepper, Red Onion, and Diced Tomato, 1 slice",Pizza,150,4
Burger King Whopper (with cheese),Burger,770,48
Five Guys (with cheese),Burger,610,34
McDonald’s Quarter Pound with cheese,Burger,510,26
Wendy’s ¼ Pound Single Hamburger,Burger,470,21
Burger King 8 Piece Chicken Tenders,Chicken strips,360,21
McDonalds Chicken Selects Premium Breast Strips (5),Chicken strips,660,40
Wendy’s 10 Piece Chicken Nuggets,Chicken strips,450,29
Burger King Medium Fries,French fries,440,22
Five Guys,French fries,310,15
McDonald’s Medium Fries,French fries,380,19
Wendy’s Medium Fries,French fries,410,19
Baja Fresh Chicken Burrito Ultimo,Burritos,880,36
Baja Fresh Bean and Cheese Burrito,Burritos,840,33
"Chipotle Chicken (with rice, beans, sour cream and cheese)",Burritos,950,37
"Taco Bell Burrito Supreme, Chicken",Burritos,390,12
Burger King Tender Grill Chicken (no mayo),sandwiches,410,7
McDonald’s Premium Grilled Chicken Classic,sandwiches,420,10
Panera Turkey Artichoke Panini,sandwiches,750,24
Panera Bacon Turkey Bravo,sandwiches,830,29
"Quiznos Honey Mustard Chicken Sub, Regular",sandwiches,830,41
"Quiznos Tuna Melt, Regular",sandwiches,1220,94
"Subway Turkey, 6 inch (no mayo)",sandwiches,280,3.5
Wendy’s Ultimate Chicken Grill,sandwiches,370,7
Burger King Tendergrill Chicken Garden,Salads,300,10
McDonald’s Premium Southwest Salad with Grilled Chicken,Salads,320,9
Panera Greek Salad,Salads,380,34
Panera Strawberry and Poppyseed Chicken Salad,Salads,280,8
"Quiznos Chicken Caesar, Regular",Salads,440,16.5
"Quiznos Raspberry Chipotle Chicken, Regular",Salads,520,25
"Subway Oven Roasted Chicken, Fat-Free Italian dressing",Salads,130,2.5
Wendy’s Mandarin Chicken Salad,Salads,390,16
Au Bon Pain Cranberry Walnut,Muffins,540,25
Dunkin Donuts Blueberry,Muffins,510,16
Dunkin Donuts Honey Bran Raisin,Muffins,500,14
Starbuck’s Blueberry,Muffins,470,24
Starbuck’s Lowfat Blueberry,Muffins,430,2.5
Dunkin Donuts Glazed Donut,Donuts,220,9
Krispy Kreme Original Glazed Donut,Donuts,200,12
Starbuck’s Old-fashioned Glazed Donut,Donuts,420,21
Dunkin Donuts Everything,Bagels,350,4.5
Einstein’s Asiago Cheese Bagel,Bagels,310,5
Einstein Everything,Bagels,270,2
Starbuck’s Plain,Bagels,300,1
"Burger King Sausage, Egg, and Cheese Biscuit",Other breakfast,550,37
Dunkin Donuts Egg and Cheese Bagel,Other breakfast,510,6
McDonald’s Sausage McMuffin with Egg,Other breakfast,450,27
Starbuck’s Cheese Danish,Other breakfast,420,25
Starbuck’s Banana Walnut Loaf,Other breakfast,350,16
Dunkin Donuts Mocha Swirl Latte (10 oz),Coffee,220,6
Dunkin Donuts Coolatta with Skim Milk (16 oz),Coffee,210,0
Dunkin Donuts Latte (10oz),Coffee,120,6
"Dunkin Donuts Coffee (14oz), (no milk or sugar)",Coffee,10,0
"Starbuck’s Caramel Frappuccino, Grande with Whip",Coffee,390,15
"Starbuck’s Caffè Mocha, Grande 2% Milk, no Whip",Coffee,260,8
"Starbuck’s Caffè Latte, Grande 2% Milk",Coffee,190,7
Starbuck’s Coffee Frappuccino Light,Coffee,110,0
"Starbuck’s Caramel Macchiato, Grande",Coffee,240,7
